retained_flops,pruning_method,0.0,0.5,1.0
0.03,IPAD_eq,0.8241650776360021,,
0.03,L1,0.8194381357975118,0.8333680277952701,0.7916990629982003
0.03,L2,0.4573972758571636,0.7627082037279184,0.8128835795341287
0.03,random,0.8123611632219343,,
0.03,uniform,0.0,,
0.25,IPAD_eq,0.8946924061854742,,
0.25,L1,0.9034649753068068,0.8954528465347582,0.8823726993800134
0.25,L2,0.8918132126685407,0.8975443920733662,0.8958730536721469
0.25,random,0.8944331123640354,,
0.25,uniform,0.9005579938373376,,
0.5,IPAD_eq,0.9069717115451158,,
0.5,L1,0.9080104335683132,0.902874522595408,0.901253086477707
0.5,L2,0.9035724372110902,0.8800965272791665,0.8960485174639338
0.5,random,0.8982564953687687,,
0.5,uniform,0.9063682621090472,,
0.75,IPAD_eq,0.9018284183899196,,
0.75,L1,0.9103272265705094,0.908413792424304,0.9048164208781996
0.75,L2,0.9012474216385916,0.9100512384039152,0.8966336520883401
0.75,random,0.9071880350049856,,
0.75,uniform,0.899440933102902,,
1.0,no_pruning,0.9073869340069064,,
