model,val loss,val F1,val IoU,val precision,val recall,test loss,test F1,test IoU,test precision,test recall,is best val loss,is best val F1,is best val IoU,is best val precision,is best val recall,is best test loss,is best test F1,is best test IoU,is best test precision,is best test recall
100%,0.49857383966445923,0.5018385339990133,0.33496959132086157,0.4754613104017936,0.5313143217410833,0.4577779173851013,0.5425851714705173,0.37229288521647635,0.5741318748448925,0.5143246813768454,False,False,False,False,False,False,False,False,False,False
random_75%,0.5157375931739807,0.48931328832242216,0.3239012328234837,0.5075962400770585,0.47230160316305864,0.46400582790374756,0.5363882673916942,0.36648262339069637,0.598679739319639,0.4858377832977764,False,False,False,False,False,False,False,False,False,False
random_50%,0.49353528022766113,0.5096433914815051,0.3419607015988754,0.4927129516536993,0.5277787507237001,0.4545493721961975,0.5461079716780952,0.375617969587754,0.5717566284557066,0.522661684416645,False,False,False,False,False,False,False,False,False,False
random_25%,0.5148945450782776,0.49002025699283136,0.32452108000928664,0.45360428707999684,0.5327936573998718,0.46320146322250366,0.5381103172433389,0.36809228739382943,0.5419145319898021,0.5343591409894098,False,False,False,False,False,False,False,False,False,False
random_3%,0.7100563049316406,0.3956378634102947,0.2466013466581043,0.3256309596550572,0.5039898795309805,0.6819943189620972,0.4427051983889549,0.284278351106656,0.38017350331914057,0.5298571593479181,False,False,False,False,False,False,False,False,False,False
uniform_75%,0.5156926214694977,0.48744981030842033,0.3222701723423902,0.5265733981478603,0.45373779496572597,0.5077447295188904,0.49325585903623054,0.32736537387212,0.6113868742372602,0.41338281380265673,False,False,False,False,False,False,False,False,False,False
uniform_50%,0.5076228976249695,0.4955033843931956,0.32934828782804904,0.499060572684923,0.49199654684322547,0.4985664486885071,0.5025346170857007,0.3355901397250937,0.582173925283635,0.44206210425956727,False,False,False,False,False,False,False,False,False,False
uniform_25%,0.526782751083374,0.4777248460324958,0.31382292799524586,0.52008907454171,0.4417424019219001,0.498523473739624,0.5028087222685489,0.3358346590359557,0.6042750583589873,0.43051856158907553,False,False,False,False,False,False,False,False,False,False
uniform_3%,0.8974294364452362,0.0,0.0,0.0,0.0,0.893519401550293,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False
IPAD_eq_75%,0.5017001330852509,0.5022088835781748,0.33529968102490537,0.5026021783183449,0.501816203876354,0.4767303466796875,0.5241829392184493,0.355181514801609,0.5792193683557073,0.4786978883867685,False,False,False,False,False,False,False,False,False,False
