pruning_method,alpha,retained_flops,val IoU,val F1,test IoU,test F1
IPAD_eq,1.0,0.03,0.0,0.0,0.0,0.0
IPAD_eq,1.0,0.25,0.327068020469339,0.4929182459745599,0.3658912420851837,0.5357545766625026
IPAD_eq,1.0,0.5,0.3306470034375365,0.4969717777642864,0.3389481767346617,0.506290209918753
IPAD_eq,1.0,0.75,0.3352996810249053,0.5022088835781748,0.355181514801609,0.5241829392184493
L1,0.0,0.03,0.0782196051288953,0.1450903039729917,0.0839360345148023,0.1548726711578959
L1,0.0,0.25,0.3274178715358607,0.4933154488225005,0.3759075483410495,0.5464139633426481
L1,0.0,0.5,0.3276694825822722,0.4936009856082045,0.3684205563709852,0.5384610084315405
L1,0.0,0.75,0.3368326361485328,0.5039264108915845,0.3645549941702293,0.5343207063514669
L1,0.1,0.03,0.0,0.0,0.0,0.0
L1,0.1,0.25,0.3124494579147192,0.4761317946843507,0.3554175992460832,0.5244399946463366
L1,0.1,0.5,0.332844051203331,0.499449355538376,0.3590823700079817,0.5284188477934165
L1,0.1,0.75,0.3330810838895057,0.4997161656779064,0.3636218884347965,0.5333177642846023
L1,0.5,0.03,0.0,0.0,0.0,0.0
L1,0.5,0.25,0.3239004715309276,0.4893124196207539,0.3603972539906591,0.5298411959204582
L1,0.5,0.5,0.3296893127960566,0.4958892421309898,0.3797584290769083,0.5504708955914491
L1,0.5,0.75,0.343537846659307,0.5113928833690996,0.3791416993399584,0.5498226897517657
L1,0.9,0.03,0.2738891974215965,0.4300047413479279,0.3254827900027881,0.4911158295795051
L1,0.9,0.25,0.3340635526346783,0.5008210470557076,0.3784337958541655,0.5490779419256241
L1,0.9,0.5,0.3509798666668376,0.519593038100237,0.3871230996378065,0.5581668991582488
L1,0.9,0.75,0.3396357881276565,0.5070569047761092,0.3719812271786087,0.5422541064115932
L1,1.0,0.03,0.2713046571828467,0.4268129683156286,0.3165929349620336,0.4809275920520767
L1,1.0,0.25,0.3345615618240485,0.5013804853884408,0.3789256320721952,0.5495954578823236
L1,1.0,0.5,0.3381665901964313,0.5054177748478855,0.3744296810337464,0.5448509824847896
L1,1.0,0.75,0.3469461411774516,0.5151596349266999,0.3780518088093089,0.5486757557191708
L2,0.0,0.03,0.0823318405993402,0.1521378887897247,0.0901597484820487,0.1654064894756721
L2,0.0,0.25,0.290359987680865,0.450044933898985,0.3329971148524513,0.4996216588050315
L2,0.0,0.5,0.3343917130306415,0.5011897327677167,0.3607786258654467,0.5302532226885821
L2,0.0,0.75,0.3205190009463942,0.4854439818233338,0.3518810708742059,0.5205799214965838
L2,0.1,0.03,0.275452100487144,0.4319285693001537,0.3333789185777404,0.5000512816466931
L2,0.1,0.25,0.3267275070841287,0.4925314434796152,0.3560075476055191,0.525081955825642
L2,0.1,0.5,0.3280010518473068,0.4939770964654632,0.3602354864047859,0.5296663555762949
L2,0.1,0.75,0.3401482248323708,0.507627766137462,0.3612153381531985,0.5307247546053516
L2,0.5,0.03,0.2379115955068554,0.3843757443914143,0.2763772895511056,0.4330651944587731
L2,0.5,0.25,0.3247346978667805,0.4902637462273776,0.3434785174509798,0.5113271451525275
L2,0.5,0.5,0.3334708132631555,0.5001546489752022,0.3690158103948115,0.5390964919366281
L2,0.5,0.75,0.3344972165357767,0.5013082266354942,0.3607679771651189,0.5302417211738111
L2,0.9,0.03,0.2601522949812094,0.4128902451192832,0.3004927447724297,0.4621213705040888
L2,0.9,0.25,0.3357630413584502,0.5027284495264736,0.3712444785696977,0.5414708819202411
L2,0.9,0.5,0.3332494732538759,0.4999056514765543,0.3744920716260204,0.544917034236505
L2,0.9,0.75,0.3443254644773917,0.5122650333953894,0.3903658865138461,0.5615297243700874
L2,1.0,0.03,0.2514601757359191,0.4018668442054871,0.2794946445016358,0.4368828673143828
L2,1.0,0.25,0.3133414135566851,0.477166729568238,0.3634564680260678,0.5331398200813242
L2,1.0,0.5,0.342546806065561,0.5102940240413983,0.3721302359363119,0.5424124127435737
L2,1.0,0.75,0.3361587982832618,0.5031719264434273,0.3576549259006386,0.526871621171894
no_pruning,1.0,1.0,0.3349695913208615,0.5018385339990133,0.3722928852164763,0.5425851714705173
random,1.0,0.03,0.2466013466581043,0.3956378634102947,0.284278351106656,0.4427051983889549
random,1.0,0.25,0.3245210800092866,0.4900202569928313,0.3680922873938294,0.5381103172433389
random,1.0,0.5,0.3419607015988754,0.5096433914815051,0.375617969587754,0.5461079716780952
random,1.0,0.75,0.3239012328234837,0.4893132883224221,0.3664826233906963,0.5363882673916942
uniform,1.0,0.03,0.0,0.0,0.0,0.0
uniform,1.0,0.25,0.3138229279952458,0.4777248460324958,0.3358346590359557,0.5028087222685489
uniform,1.0,0.5,0.329348287828049,0.4955033843931956,0.3355901397250937,0.5025346170857007
uniform,1.0,0.75,0.3222701723423902,0.4874498103084203,0.32736537387212,0.4932558590362305
