model,val loss,val F1,val IoU,val precision,val recall,test loss,test F1,test IoU,test precision,test recall,is best val loss,is best val F1,is best val IoU,is best val precision,is best val recall,is best test loss,is best test F1,is best test IoU,is best test precision,is best test recall
100%,0.14517533779144287,0.9455909629399164,0.8967970964820493,0.9411604540236105,0.950063382354248,0.1347733438014984,0.9508757723416819,0.9063519336161645,0.9423750491656101,0.9595312535885243,True,False,False,False,False,True,False,False,False,False
random_75%,0.15694278478622437,0.9426915025469927,0.8915955038835687,0.9292485939899666,0.9565290620509328,0.145052969455719,0.9493056139549971,0.9035030800234396,0.9333499395365916,0.9658163028439003,False,False,False,False,False,False,False,False,False,False
random_50%,0.18780997395515442,0.945193590416872,0.8960825245557843,0.9470142391190499,0.9433799287294831,0.17349982261657715,0.9529016809384285,0.9100403119665366,0.9540266112323627,0.9517794004191347,False,False,False,False,False,False,False,False,True,False
random_25%,0.42998766899108887,0.9369259629329351,0.8813365111595027,0.9115399018035123,0.9637665166574054,0.41304516792297363,0.941446609685858,0.8893709266818078,0.9139243948366572,0.9706779185046072,False,False,False,False,False,False,False,False,False,False
random_3%,0.5766137540340424,0.8786297870072951,0.7835323043425722,0.8086022928514951,0.9619365047336818,0.5600444972515106,0.8855827942861397,0.7946600157872327,0.8206002383150279,0.9617422527549271,False,False,False,False,False,False,False,False,False,False
uniform_75%,0.4670112431049347,0.9346647107283278,0.8773432365760843,0.9027550948643113,0.9689127979035992,0.45065370202064514,0.9415500274008494,0.889555530989113,0.9105041209465283,0.9747878476759472,False,False,False,False,False,False,False,False,False,True
uniform_50%,0.48832425475120544,0.9373581151952778,0.8821016078879035,0.9201416796823033,0.9552310959841464,0.47044503688812256,0.9438638981507792,0.8936953262918853,0.9252342969869048,0.9632591296740021,False,False,False,False,False,False,False,False,False,False
uniform_25%,0.49395883083343506,0.9359314922170587,0.8795782276905604,0.9101670793216297,0.9631970425401452,0.47691550850868225,0.9397117287249536,0.8862794715204256,0.9092924894007542,0.9722366872094127,False,False,False,False,False,False,False,False,False,False
uniform_3%,0.5817901790142059,0.8869031673229257,0.7967888698325221,0.8154362998806589,0.9721004729238424,0.56497722864151,0.8975093913920371,0.814074409690672,0.8347103353397904,0.9705265166625316,False,False,False,False,True,False,False,False,False,False
IPAD_eq_75%,0.1518426537513733,0.9431816506254665,0.8924728182318925,0.9368153711044565,0.9496350483247978,0.13894769549369812,0.9509923534942547,0.9065637954709094,0.944340980185466,0.9577380880214431,False,False,False,False,False,False,False,False,False,False
