pruning_method,alpha,retained_flops,val IoU,val F1,test IoU,test F1
IPAD_eq,1.0,0.03,0.8061874409200088,0.8926952127508594,0.8211661239029487,0.9018025463191728
IPAD_eq,1.0,0.25,0.8857257560905782,0.9394003907830526,0.9002990044904985,0.9475340484450588
IPAD_eq,1.0,0.5,0.8944289779769676,0.9442729058463992,0.9073322283254346,0.9514149814602963
IPAD_eq,1.0,0.75,0.8924728182318925,0.9431816506254664,0.9065637954709094,0.9509923534942548
L1,0.0,0.03,0.8520096453812257,0.9200920173456704,0.8589243362290447,0.9241089801120488
L1,0.0,0.25,0.8872658387339002,0.9402658814924932,0.9013659889982008,0.9481246579708896
L1,0.0,0.5,0.8893486409056107,0.9414341235393424,0.8990712784705313,0.9468536422652052
L1,0.0,0.75,0.8918966148602149,0.942859781929589,0.9053282426297592,0.950312100953496
L1,0.1,0.03,0.8035004505811019,0.8910454669664294,0.8138050023427241,0.8973456367047258
L1,0.1,0.25,0.8942164461064884,0.9441544528287952,0.9039459378074672,0.9495500054465066
L1,0.1,0.5,0.8967903688094834,0.9455872230860726,0.9088769959906776,0.9522635538063936
L1,0.1,0.75,0.8989090707389285,0.9467636808845546,0.9115728985914806,0.953741182732986
L1,0.5,0.03,0.8233779540701474,0.9031347036221444,0.8351511005074574,0.910171484273443
L1,0.5,0.25,0.8903354112183905,0.9419867034544274,0.9009099310488928,0.9478722966656128
L1,0.5,0.5,0.8900914220844703,0.9418501260672788,0.8977889518859622,0.9461420364933288
L1,0.5,0.75,0.8937459068313526,0.9438921067576412,0.906993294654614,0.9512286143815564
L1,0.9,0.03,0.7999742942565479,0.8888730209194072,0.8133795703742025,0.8970869460124736
L1,0.9,0.25,0.8945413860487581,0.9443355448828776,0.9093610849004355,0.9525291911433864
L1,0.9,0.5,0.8963995543745525,0.9453699272463626,0.906359532038544,0.9508799539710526
L1,0.9,0.75,0.8979702537025854,0.9462427052803524,0.9073455540340222,0.9514223074209
L1,1.0,0.03,0.8444786106735427,0.9156827363426752,0.8590439655828801,0.9241782136266342
L1,1.0,0.25,0.8956267296217708,0.9449399669527478,0.9068422220938556,0.9511455238263762
L1,1.0,0.5,0.8936649238563065,0.9438469420835288,0.9056758083287232,0.9505035477393192
L1,1.0,0.75,0.8968942887096855,0.9456449882821624,0.9075401195819758,0.9515292603972668
L2,0.0,0.03,0.8072617159702534,0.8933534184193835,0.8288361031881164,0.9064082907629052
L2,0.0,0.25,0.892984089042238,0.9434670837556236,0.903743042306462,0.9494380514836084
L2,0.0,0.5,0.8834296239242858,0.938107389522296,0.9014255861496958,0.9481576273253411
L2,0.0,0.75,0.8924712617156856,0.9431807814154968,0.9045795630411444,0.949899474503185
L2,0.1,0.03,0.7962443632782735,0.8865657474633029,0.8162185165340147,0.8988109185139763
L2,0.1,0.25,0.88927781259192,0.9413944383032906,0.9047895527589488,0.9500152407371482
L2,0.1,0.5,0.8958929828678714,0.9450881362646067,0.9086565233741688,0.9521425277375984
L2,0.1,0.75,0.8918414258308064,0.9428289429058804,0.9064245734013946,0.9509157467312486
L2,0.5,0.03,0.8533831052298451,0.9208922891568216,0.8697904538340459,0.9303614231750106
L2,0.5,0.25,0.8929170187235772,0.9434296484118302,0.906056441563923,0.9507131287471234
L2,0.5,0.5,0.8936017001350347,0.9438116791628473,0.9058223907109968,0.9505842675854655
L2,0.5,0.75,0.8973253327731323,0.945884522040931,0.9078255151862265,0.951686103325452
L2,0.9,0.03,0.8112778435977576,0.8958071744380299,0.8212239137961524,0.901837393606804
L2,0.9,0.25,0.8971833497101327,0.9458056332269748,0.9048005766665798,0.9500213174546492
L2,0.9,0.5,0.8961184263572448,0.9452135625081558,0.9073317604780348,0.9514147242539808
L2,0.9,0.75,0.8972134122674201,0.9458223376094858,0.9082328912622148,0.9519099009570656
L2,1.0,0.03,0.8009523146147843,0.8894764265716879,0.8186246452371596,0.9002678451334922
L2,1.0,0.25,0.8922697649999429,0.9430682469314514,0.9050189048065088,0.9501416521621668
L2,1.0,0.5,0.8879556661697534,0.940653090621794,0.9026208492592795,0.9488184149886556
L2,1.0,0.75,0.9004883482645519,0.9476389045866458,0.9100454629841506,0.952904504757018
no_pruning,1.0,1.0,0.8967970964820493,0.9455909629399164,0.9063519336161644,0.950875772341682
random,1.0,0.03,0.7835323043425722,0.8786297870072951,0.7946600157872327,0.8855827942861397
random,1.0,0.25,0.8813365111595027,0.9369259629329352,0.8893709266818078,0.941446609685858
random,1.0,0.5,0.8960825245557843,0.945193590416872,0.9100403119665366,0.9529016809384284
random,1.0,0.75,0.8915955038835687,0.9426915025469929,0.9035030800234396,0.9493056139549972
uniform,1.0,0.03,0.7967888698325221,0.8869031673229257,0.814074409690672,0.8975093913920371
uniform,1.0,0.25,0.8795782276905604,0.9359314922170588,0.8862794715204256,0.9397117287249536
uniform,1.0,0.5,0.8821016078879035,0.9373581151952778,0.8936953262918853,0.9438638981507792
uniform,1.0,0.75,0.8773432365760843,0.9346647107283278,0.889555530989113,0.9415500274008494
