pruning_method,alpha,retained_flops,val IoU,val F1,test IoU,test F1
IPAD_eq,1.0,0.03,0.2566925897156121,0.4085208933613611,0.3186069590345586,0.483247804588916
IPAD_eq,1.0,0.25,0.3355025356802523,0.5024363888749349,0.3826795013613355,0.5535331954868258
IPAD_eq,1.0,0.5,0.3477074846285067,0.5159984471323935,0.3964101617906523,0.5677560542560438
IPAD_eq,1.0,0.75,0.3444607734473991,0.5124147617399801,0.3899638580876748,0.5611136661124279
L1,0.0,0.03,0.2510662522506375,0.401363639693702,0.3266527131549492,0.4924464555281049
L1,0.0,0.25,0.3486935130184542,0.517083399086065,0.3986658170482458,0.5700658616074467
L1,0.0,0.5,0.3417223547124867,0.5093786408376767,0.393209401007792,0.5644656154679406
L1,0.0,0.75,0.3415828371997536,0.5092236241076689,0.3723653084990262,0.5426620830371864
L1,0.1,0.03,0.2529973208936383,0.4038273932033638,0.3018438719087822,0.4637174678499878
L1,0.1,0.25,0.3452478996315331,0.5132851717904148,0.3833742252259539,0.5542596041404997
L1,0.1,0.5,0.3223135067165265,0.4874993790494843,0.3686147406567244,0.5386683771648492
L1,0.1,0.75,0.3552229883274906,0.5242281032524083,0.3738976095687198,0.5442874446605813
L1,0.5,0.03,0.2363063992485498,0.3822780491829231,0.2875330927013927,0.4466418678188926
L1,0.5,0.25,0.3466010364507685,0.5147791024493843,0.4025664197688711,0.5740425752317813
L1,0.5,0.5,0.3584445597257912,0.5277279181686223,0.3995885831833376,0.5710086349439647
L1,0.5,0.75,0.3543855577722796,0.5233156182722151,0.4006835957250708,0.5721257776530966
L1,0.9,0.03,1.8924376299868096e-06,3.784868097346808e-06,0.0,0.0
L1,0.9,0.25,0.3536424566579154,0.5225049715580632,0.3982749142307816,0.5696661081127676
L1,0.9,0.5,0.3481163977259955,0.5164485771602493,0.387021354469041,0.5580611332652405
L1,0.9,0.75,0.3591678754541929,0.5285114251750099,0.3962569018009185,0.5675988441522745
L1,1.0,0.03,0.2864299989404573,0.4453098873259637,0.3553218165074504,0.524335714484527
L1,1.0,0.25,0.3602658833322275,0.5296992121123972,0.408406128414138,0.5799550572447485
L1,1.0,0.5,0.3606897911117625,0.5301572679795856,0.4020544813444454,0.5735219090187008
L1,1.0,0.75,0.3414026471821285,0.5090233687838768,0.3566518356800376,0.5257824097532905
L2,0.0,0.03,0.0,0.0,0.0,0.0
L2,0.0,0.25,0.0,0.0,0.0,0.0
L2,0.0,0.5,0.0,0.0,0.0,0.0
L2,0.0,0.75,0.0,0.0,0.0,0.0
L2,0.1,0.03,0.181541483285146,0.3072959957028168,0.2110010070994293,0.3484737103643137
L2,0.1,0.25,0.3392316617081818,0.506606394409006,0.3909623843528768,0.5621465954088555
L2,0.1,0.5,0.3529723031581767,0.5217731395302784,0.3852118275328838,0.5561775027852038
L2,0.1,0.75,0.3525549773682531,0.5213170381498878,0.3826909052684138,0.5535451253931901
L2,0.5,0.03,0.2556762673658433,0.4072327780825241,0.3214831325327688,0.4865489760987123
L2,0.5,0.25,0.3335860101281282,0.5002842075346576,0.3779136926025092,0.5485302811509648
L2,0.5,0.5,0.3485199080925411,0.5168924922814327,0.3733714460466901,0.543729734765429
L2,0.5,0.75,0.3501339061805036,0.5186654517417818,0.3913727978911012,0.5625707193417948
L2,0.9,0.03,0.1944298052793835,0.3255608733472711,0.2319945533017609,0.3766161996090202
L2,0.9,0.25,0.3514390688707735,0.5200960619917946,0.3903853411430447,0.5615498518160533
L2,0.9,0.5,0.3622901839622579,0.5318840115378753,0.406737585392091,0.578270730256665
L2,0.9,0.75,0.352800177489824,0.5215850549997105,0.3784455636547251,0.5490903284585834
L2,1.0,0.03,0.2983347954944697,0.4595652778154946,0.361300469368196,0.5308166382046163
L2,1.0,0.25,0.35201352858459,0.5207248613157143,0.4060955301208004,0.5776215362634884
L2,1.0,0.5,0.3558879301996904,0.5249518374977739,0.3936418707678119,0.5649110851569624
L2,1.0,0.75,0.3571431529627446,0.5263161106963173,0.3865438361746708,0.5575645372181016
no_pruning,1.0,1.0,0.3467389391627974,0.5149311853689301,0.3817677016071457,0.5525787021409003
random,1.0,0.03,0.2980624373826172,0.4592420654026832,0.3463778091753312,0.5145328552131898
random,1.0,0.25,0.3545500692261418,0.5234949630598701,0.3934387080404185,0.5647018498484345
random,1.0,0.5,0.3508916219130927,0.5194963329718048,0.3934419084424169,0.5647051463841855
random,1.0,0.75,0.3586297749294713,0.5279286256597584,0.3843450208530121,0.5552734543245362
uniform,1.0,0.03,0.3030202976353077,0.4651044932841371,0.3687283614087991,0.5387896850902921
uniform,1.0,0.25,0.3587454111916481,0.528053906547542,0.4030614243738631,0.5745456576197087
uniform,1.0,0.5,0.358143267288502,0.5274013072325217,0.3968913191830853,0.5682493888145729
uniform,1.0,0.75,0.3486675550073493,0.5170548571630008,0.3852984004914564,0.5562677331537607
